Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Sam LoPresti,L,8,8,3,5,0,,,0,17,--,1.92,530:46,1,0,0,0,0
Roy Worters,L,11,11,3,6,2,,,24,24,--,2.09,689:50,3,0,0,0,0
Bob Mason,R,5,5,2,3,0,,174,162,12,0.931,1.96,367:28,1,0,0,0,0
Cory Schneider,L,14,9,2,6,,,377,351,26,0.931,2.35,664:36,0,0,1,1,0
Dan Ellis,L,7,7,2,5,,,264,245,19,0.928,2.87,397:31,0,0,0,0,0
Logan Thompson,R,4,4,2,2,,0,127,117,10,0.921,2.35,255:00,0,0,0,0,0
Filip Gustavsson,L,5,5,2,3,,0,151,139,12,0.921,2.33,308:32,0,0,0,0,0
Dustin Tokarski,L,5,5,2,3,,,155,142,13,0.916,2.6,300:28,0,0,0,0,0
Michael Hutchinson,R,4,3,2,1,,0,100,91,9,0.91,2.75,196:11,0,0,0,0,0
Karri Ramo,L,7,4,2,3,,,171,155,16,0.906,2.86,336:15,0,0,0,0,0
Rick DiPietro,R,10,9,2,7,0,,250,226,24,0.904,2.6,554:12,1,0,0,0,0
Gord McRae,L,8,7,2,5,0,,215,193,22,0.898,2.91,453:14,0,0,0,0,0
Steve Mason,R,13,11,2,9,,,358,321,37,0.897,3.27,679:08,0,0,1,1,0
Ron Grahame,L,4,3,2,1,0,,66,59,7,0.894,2.08,201:50,0,0,0,0,0
Johan Holmqvist,L,6,6,2,4,,,168,150,18,0.893,2.92,369:56,0,0,0,0,0
Wayne Rutledge,L,8,5,2,5,0,,186,166,20,0.892,3.18,377:36,0,0,0,0,4
Tristan Jarry,L,8,8,2,6,,0,238,212,26,0.891,3.0,519:39,0,0,0,0,0
Ville Husso,L,7,6,2,5,,0,228,203,25,0.89,3.67,409:16,1,0,0,0,0
Jonathan Bernier,L,9,5,2,5,,,208,184,24,0.885,3.35,429:34,0,0,0,0,0
Jim Rutherford,L,8,7,2,5,0,,240,212,28,0.883,3.82,439:43,0,0,1,1,0
Michel Dion,L,5,5,2,3,0,,183,161,22,0.88,4.25,310:28,0,0,0,0,0
Corey Hirsch,L,6,5,2,3,0,,166,145,21,0.873,3.73,337:51,0,0,0,0,2
Ernie Wakely,L,10,7,2,6,0,,290,253,37,0.872,4.39,505:51,1,0,0,0,0
Allan Bester,L,11,8,2,6,0,,284,247,37,0.87,4.37,508:15,0,0,0,0,0
Wade Flaherty,L,7,5,2,3,0,,221,190,31,0.86,4.93,377:21,0,0,0,0,0
Gary Bromley,L,7,6,2,5,0,,178,153,25,0.86,4.19,358:05,0,0,0,0,2
Clint Malarchuk,L,15,13,2,9,0,,380,324,56,0.853,4.31,779:06,0,0,1,1,4
Vitek Vanecek,L,10,7,2,4,,0,175,146,29,0.834,4.52,384:35,0,0,1,1,2
Doug Keans,L,9,7,2,6,0,,193,159,34,0.824,4.77,427:50,0,0,0,0,4
Jim Carey,L,10,10,2,5,0,,190,155,35,0.816,4.61,455:18,0,0,0,0,4
Bill Beveridge,L,5,5,2,3,0,,,0,11,--,2.2,300:00,0,0,0,0,0
Joe Miller,L,3,3,2,1,0,,,0,3,--,1.0,180:00,1,0,0,0,0
Flat Walsh,L,8,8,2,4,2,,,0,16,--,1.68,570:00,2,0,0,0,0
Hal Winkler,L,10,10,2,3,5,,,15,18,--,1.69,640:00,2,0,0,0,0
Elvis Merzlikins,L,2,1,1,1,,0,74,70,4,0.946,1.96,122:45,0,0,1,1,0
Spencer Knight,L,2,2,1,1,,0,60,56,4,0.933,2.06,116:20,0,0,0,0,0
Casey DeSmith,L,3,3,1,1,,0,96,89,7,0.927,2.02,208:05,0,0,0,0,0
Andrew Hammond,L,5,4,1,3,,,171,158,13,0.924,3.0,259:38,0,0,0,0,0
Scott Clemmensen,L,4,2,1,2,,,91,84,7,0.923,2.25,186:16,0,0,1,1,0
Hank Bassen,L,5,3,1,3,0,,138,127,11,0.92,2.41,274:00,0,0,0,0,0
Pascal Leclaire,L,3,2,1,2,,,125,115,10,0.92,2.85,210:43,0,0,0,0,0
Josh Harding,R,6,5,1,4,,,146,134,12,0.918,2.72,264:48,0,0,0,0,0
Mark Laforest,L,2,0,1,0,0,,12,11,1,0.917,1.25,48:04,0,0,0,0,10
Calvin Pickard,L,3,2,1,1,,0,59,54,5,0.915,2.21,135:55,0,0,0,0,0
Michel Plasse,L,4,3,1,2,0,,101,92,9,0.911,2.78,194:18,1,0,0,0,0
Alex Stalock,L,8,5,1,4,,0,188,171,17,0.91,2.54,402:17,1,0,0,0,0
Jeff Zatkoff,L,2,2,1,1,,,65,59,6,0.908,3.07,117:13,0,0,0,0,0
Chris Mason,L,9,9,1,8,,,290,263,27,0.907,2.93,552:06,0,0,0,0,0
Marc Behrend,L,7,4,1,3,0,,188,170,18,0.904,3.51,307:45,0,0,0,0,0
Blaine Lacher,L,5,5,1,4,0,,125,113,12,0.904,2.55,282:48,0,0,0,0,0
Jacques Cloutier,L,8,5,1,5,0,,182,164,18,0.901,2.61,413:21,1,0,0,0,0
Antero Niittymaki,L,4,0,1,0,,,59,53,6,0.898,2.19,164:10,0,0,0,0,0
Alex Auld,L,4,3,1,2,0,,93,83,10,0.892,2.48,241:39,0,0,0,0,0
