Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Carl Grundstrom,20242025,SJS,L,R,30,1,4,5,-5,12,0.17,1,5,0,0,0,0,0,0,38,2.6,,25.0
Logan Stanley,20242025,WPG,L,D,23,1,4,5,5,53,0.22,1,5,0,0,0,0,0,0,13,7.7,,
David Kampf,20242025,TOR,L,C,24,1,4,5,-1,2,0.21,1,4,0,0,0,1,0,0,21,4.8,,53.9
Jan Rutta,20242025,SJS,R,D,39,1,4,5,-4,26,0.13,1,5,0,0,0,0,0,0,44,2.3,,
Emil Andrae,20242025,PHI,L,D,20,1,4,5,3,12,0.25,1,3,0,2,0,0,0,0,25,4.0,,
Jamie Drysdale,20242025,PHI,R,D,25,1,4,5,-13,2,0.2,0,2,1,3,0,0,0,0,22,4.6,,
Arber Xhekaj,20242025,MTL,L,D,33,1,4,5,-2,50,0.15,1,5,0,0,0,0,0,0,40,2.5,,
Isaiah George,20242025,NYI,L,D,23,1,4,5,1,4,0.22,1,5,0,0,0,0,0,1,16,6.3,,
Victor Mancini,20242025,NYR,R,D,15,1,4,5,-3,2,0.33,1,5,0,0,0,0,0,0,20,5.0,,
Max Sasson,20242025,VAN,L,C,13,1,4,5,3,0,0.38,1,5,0,0,0,0,0,0,13,7.7,,50.0
Sam Malinski,20242025,COL,R,D,37,1,4,5,1,6,0.14,1,5,0,0,0,0,0,0,57,1.8,,
Olli Maatta,20242025,"DET,UTA",L,D,32,0,5,5,6,10,0.16,0,5,0,0,0,0,0,0,24,0.0,,
Adam Pelech,20242025,NYI,L,D,17,0,5,5,-4,2,0.29,0,5,0,0,0,0,0,0,35,0.0,,
Casey Cizikas,20242025,NYI,L,C,37,3,1,4,-11,6,0.11,3,4,0,0,0,0,0,1,31,9.7,,54.5
Jimmy Vesey,20242025,NYR,L,L,20,3,1,4,-2,0,0.2,3,4,0,0,0,0,0,0,21,14.3,,42.9
Kevin Rooney,20242025,CGY,L,C,28,3,1,4,-1,8,0.14,3,4,0,0,0,0,0,0,24,12.5,,44.3
Morgan Barron,20242025,WPG,L,C,37,3,1,4,2,8,0.11,1,2,0,0,2,2,0,0,43,7.0,,66.7
Seamus Casey,20242025,NJD,R,D,8,3,1,4,2,0,0.5,1,2,2,2,0,0,0,1,6,50.0,,
Barclay Goodrow,20242025,SJS,L,C,34,2,2,4,-19,34,0.12,1,3,0,0,1,1,0,0,38,5.3,,50.9
Luke Glendening,20242025,TBL,R,C,34,2,2,4,-2,6,0.12,1,2,0,0,1,2,0,0,25,8.0,,57.0
Colton Sissons,20242025,NSH,R,C,35,2,2,4,-16,14,0.11,2,4,0,0,0,0,0,0,32,6.3,,56.0
Jonny Brodzinski,20242025,NYR,R,C,16,2,2,4,3,4,0.25,2,4,0,0,0,0,0,0,20,10.0,,50.0
Jonathan Drouin,20242025,COL,L,L,5,2,2,4,-2,0,0.8,2,3,0,1,0,0,0,0,6,33.3,,50.0
Dakota Joshua,20242025,VAN,L,C,21,2,2,4,-4,13,0.19,2,4,0,0,0,0,0,0,8,25.0,,75.0
Mathieu Joseph,20242025,STL,L,R,24,2,2,4,-6,8,0.17,2,4,0,0,0,0,0,0,29,6.9,,51.6
Juuso Valimaki,20242025,UTA,L,D,29,2,2,4,-1,8,0.14,2,4,0,0,0,0,0,0,28,7.1,,
Nicolas Hague,20242025,VGK,L,D,25,2,2,4,-3,15,0.16,2,4,0,0,0,0,0,1,28,7.1,,
