Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Max Talbot,L,C,84,18,21,39,14,101,0.46,14,32,1,1,3,6,0,4,114,15.8,,45.3
Don Luce,L,C,71,17,22,39,1,52,0.55,13,33,2,3,2,3,1,2,155,11.0,,
David Backes,R,R,82,17,22,39,-7,63,0.48,12,33,5,6,0,0,2,4,151,11.3,,51.4
Paul Kariya,L,L,46,16,23,39,-7,12,0.85,10,18,6,21,0,0,2,2,149,10.7,,31.3
Chandler Stephenson,L,C,95,15,24,39,11,52,0.41,13,32,1,6,1,1,1,3,97,15.5,,49.3
Francois Beauchemin,L,D,101,10,29,39,1,80,0.39,2,19,8,20,0,0,0,0,166,6.0,,
Alexei Zhitnik,L,D,98,9,30,39,-33,168,0.4,3,14,6,24,0,1,0,3,179,5.0,,
John Klingberg,R,D,63,8,31,39,-2,48,0.62,7,27,1,12,0,0,1,4,108,7.4,,
Tomas Kaberle,L,D,102,6,33,39,16,28,0.38,5,26,1,13,0,0,1,3,129,4.7,,
Marc-Edouard Vlasic,L,D,142,6,33,39,20,42,0.27,5,30,1,7,0,2,0,1,171,3.5,,
Jimmy Watson,L,D,101,5,34,39,48,89,0.39,4,36,1,3,0,0,0,1,121,4.1,,
Adam Fox,R,D,46,5,34,39,7,28,0.85,3,20,2,19,0,0,0,1,83,6.0,,
Tom Fergus,L,C,65,21,17,38,-2,48,0.58,14,26,6,11,1,1,0,2,110,19.1,,
Mark Scheifele,R,C,42,21,17,38,-2,43,0.9,14,27,7,11,0,0,0,1,95,22.1,,48.3
John Ferguson,L,L,85,20,18,38,12,260,0.45,15,29,5,9,0,0,1,6,159,12.6,,
